FECHA,1A_AAPL_*,1A_ADAP_*,1A_ADBE_*,1A_ADSK_*,1A_AMZN_*,1A_ANSS_*,1A_ATHM_N,1A_ATVI_*,1A_AVGO_*,1A_BABA_N,1A_BIDU_N,1A_BITA_N,1A_BKNG_*,1A_CHKP_N,1A_COF_*,1A_CRM_*,1A_CTL_*,1A_CTXS_*,1A_DIS_*,1A_DSY_N,1A_EA_*,1A_FB_*,1A_FIS_*,1A_FISV_*,1A_GDS_N,1A_GOOGL_*,1A_JD_N,1A_MBT_N,1A_MOMO_N,1A_MSFT_*,1A_MTCH_*,1A_NFLX_*,1A_NOWW_*,1A_NTDOY_N,1A_NTES_N,1A_PAYC_*,1A_PRSP_*,1A_PTC_*,1A_PYPL_*,1A_SAP_N,1A_SHOP_N,1A_SINA_N,1A_SYF_*,1A_TCEHY_N,1A_TENCH_N,1A_TSU_N,1A_TYL_*,1A_V_*,1A_VIPS_N,1A_VOD_N,1A_WB_N,1A_WNS_N,1A_WPP_N,1A_ZAL_N
1/2/2019,157.92,130.14,224.57,128.96,1539.13,143.01,76.28,47.03,253.51,136.70,162.25,20.79,1721.70,103.50,77.26,135.55,15.44,102.21,108.97,116.67,80.37,135.68,101.43,72.21,22.37,1054.68,21.27,7.29,24.83,101.12,42.38,267.66,178.32,268.19,229.74,119.70,17.34,81.92,85.75,99.18,137.60,54.75,24.27,39.51,39.13,16.10,182.24,132.92,5.45,19.72,58.94,41.10,10.72,26.26
1/3/2019,142.19,126.21,215.70,121.85,1500.28,137.64,74.47,45.36,230.96,130.60,154.71,20.00,1663.12,102.35,76.16,130.40,15.51,100.74,106.33,109.67,78.71,131.74,98.31,70.11,20.90,1025.47,20.35,7.26,24.03,97.40,41.12,271.20,169.12,271.78,220.90,116.50,17.30,78.16,82.09,95.46,129.79,53.30,24.09,38.39,38.95,15.81,176.63,128.13,5.28,19.64,55.97,39.51,10.64,27.74
1/4/2019,148.26,131.24,226.19,128.28,1575.39,143.66,77.83,47.17,233.23,139.75,160.95,20.61,1717.55,105.35,79.54,137.96,15.95,102.64,109.61,114.06,84.42,137.95,101.78,73.22,23.06,1078.07,22.27,7.65,25.41,101.93,43.05,297.57,179.23,258.34,229.75,121.02,18.15,81.59,86.27,98.74,138.06,57.68,25.24,40.62,39.64,16.05,180.16,133.65,5.67,20.03,61.23,41.68,10.86,28.13
1/7/2019,147.93,130.53,229.26,132.72,1629.51,147.32,78.27,48.50,237.98,143.10,162.60,20.80,1711.82,104.87,79.98,142.22,16.30,103.05,110.56,117.09,87.59,138.05,102.42,73.07,24.36,1075.92,22.76,7.85,26.22,102.06,43.37,315.34,186.67,273.19,239.49,124.11,18.44,82.51,86.93,99.71,144.39,59.64,25.37,40.90,40.54,16.46,182.84,136.06,5.91,20.18,62.63,42.58,11.06,30.13
1/8/2019,150.75,131.30,232.68,133.87,1656.58,148.05,77.22,49.97,236.07,146.79,163.40,20.10,1686.92,107.57,80.02,145.72,16.72,103.85,111.42,118.42,89.02,142.53,103.19,73.55,25.01,1085.37,22.95,7.95,26.60,102.80,44.78,320.27,188.11,276.32,242.41,127.14,18.66,84.10,88.70,101.27,145.44,57.85,25.42,40.76,40.26,17.20,185.11,136.80,6.05,19.72,59.08,43.59,11.12,30.74
1/9/2019,153.31,131.42,235.43,136.77,1659.42,150.64,81.65,50.83,246.28,151.92,166.64,20.43,1649.49,107.50,80.57,145.99,16.17,104.82,112.67,122.54,88.91,144.23,102.70,73.32,26.34,1081.65,23.69,7.97,27.15,104.27,45.01,319.96,190.47,283.84,258.44,128.47,18.63,85.71,89.55,102.65,148.62,60.14,25.99,42.33,41.80,17.55,185.44,138.41,6.16,19.51,60.64,44.34,11.27,31.40
1/10/2019,153.80,132.46,237.77,136.71,1656.22,152.60,82.59,51.35,249.52,151.69,168.35,20.22,1677.33,107.82,79.95,147.04,16.00,105.85,112.80,123.55,91.01,144.20,103.83,74.38,27.01,1078.83,23.40,7.98,27.00,103.60,45.04,324.66,190.00,274.80,255.15,128.61,18.87,86.67,90.70,103.34,148.27,59.96,25.75,42.45,41.97,16.76,185.46,138.67,5.93,19.58,59.59,45.00,11.22,31.57
1/11/2019,152.29,131.65,237.55,136.74,1640.56,154.75,78.31,46.54,250.57,151.32,166.11,19.90,1665.89,105.39,80.94,147.55,16.27,106.14,112.65,122.61,90.70,143.80,103.53,74.10,27.53,1064.47,22.88,7.98,26.98,102.80,44.69,337.59,191.69,279.55,243.42,127.30,18.91,86.41,90.65,101.98,149.43,58.70,26.02,42.11,42.25,16.69,183.96,138.06,5.99,19.70,57.12,44.95,11.30,30.91
1/14/2019,150.00,130.90,234.56,134.75,1617.21,153.60,67.49,47.29,250.87,149.27,163.03,19.48,1692.88,104.30,81.40,146.05,16.22,106.00,112.42,121.59,88.58,145.39,103.66,73.88,26.62,1051.51,22.04,7.90,26.57,102.05,44.36,332.94,188.40,280.30,240.08,124.57,18.72,85.00,90.43,101.11,149.10,56.41,25.85,41.34,41.03,16.81,182.65,137.10,5.84,19.28,54.22,45.03,11.37,30.22
1/15/2019,153.07,132.33,242.36,135.88,1674.56,156.16,68.04,46.84,256.49,150.88,167.93,19.50,1698.31,105.90,81.52,149.19,16.19,107.42,111.76,122.00,89.49,148.95,104.71,75.04,27.91,1086.51,22.25,7.86,26.94,105.01,46.47,354.64,188.35,292.23,247.02,130.77,18.67,86.34,91.60,102.43,154.30,57.00,25.77,42.10,42.07,16.65,184.72,137.34,5.91,19.04,54.66,45.36,11.30,30.00
