Precio de Cierre,WALMEX_*,GFNORTE_O,ALFA_A,ALPEK_A,ALSEA_*,AMX_L,ASUR_B,FEMSA_UBD,GMEXICO_B,FUNO_11,IENOVA_*,GRUMA_B,ASUR_B,PINFRA_*,CREAL_*,AEROMEX_*,TRAXION_A,ALEATIC_*,AXTEL_CPO,NEMAK_A
1/2/2019,49.72,98.22,23.31,24.54,51.3,14.4,306.15,170.8,41.01,22.67,72.02,221.55,306.15,187.08,17.81,22.53,11.75,25.1,2.99,14.95
1/3/2019,48.75,96.64,23.32,24.35,52.25,14.27,301.5,172.91,40.81,23.31,72.98,222.01,301.5,189.01,17.75,22.77,11.59,24.66,2.98,14.87
1/4/2019,49.66,95.55,23.75,24.8,52.68,14.32,310.83,173.46,43.22,22.82,78,222.99,310.83,195.32,18.25,23.16,11.43,24.25,2.98,15.05
1/7/2019,49.84,94.56,23.76,25.72,54.26,14.39,317.67,176.08,43.52,23.61,78.5,224.2,317.67,194.09,18.7,23.27,11.51,23.55,3,14.98
1/8/2019,50.52,97.14,24.24,25.94,53.88,15.05,325.32,177.25,43.95,23.94,78.31,224.56,325.32,194.99,19.11,23.23,11.34,23.23,3,15.49
1/9/2019,49.88,99.7,24.04,27.2,54.15,15.14,325.29,178.88,44.28,23.94,78.23,222.58,325.29,193.11,19.65,22.97,11.4,22.37,3.05,15.42
1/10/2019,48.92,103.61,24.59,26.47,54.17,15.01,329.55,178.06,44.77,24.14,78.05,224.84,329.55,194.59,18.67,22.66,11.95,22.01,3.03,15.29
1/11/2019,48.11,106.48,24.32,26.69,54.67,14.77,329.25,178.4,44.72,23.69,79.25,224.95,329.25,187.98,17.91,22.42,12.49,21.8,3.01,15.45
1/14/2019,49.42,103.08,23.77,26.52,54.97,14.92,325.21,177.67,45.06,24.59,79.3,224.62,325.21,184.99,17.79,22.75,12.3,22,2.97,15.23
1/15/2019,49.76,102.03,24.39,26.53,55.62,14.78,333.74,178.89,44.22,23.95,79.7,224.97,333.74,189.18,17.69,22.56,12.3,22,2.93,14.73
1/16/2019,49.31,103.66,24.3,26.2,55.69,14.9,333.54,178.53,44.93,24.08,79.84,224.76,333.54,189.81,18.62,23.2,12.23,22.99,3.01,14.74
1/17/2019,49.5,106.37,24.58,26.18,53.32,15.05,334.66,178.05,44.7,23.93,80.8,224.87,334.66,189.71,18.9,23.46,12.38,23,3.05,14.86
1/18/2019,49.37,109.09,24.82,26.08,51.85,15.18,336.17,178.58,45.12,24.35,79.95,230.15,336.17,192.37,19.7,24.32,12.82,22.9,3.01,14.87
1/21/2019,48.48,108.01,24.54,26.18,51.37,15.2,334.45,180.9,44.38,24.49,79.68,224.17,334.45,187.61,19.66,24.5,13.01,23.5,3.05,14.58
1/22/2019,48.56,107.16,23.8,25.79,50.64,15.25,338.56,176.87,44.04,23.66,78.77,228.41,338.56,187.83,19.27,24.42,13.01,23.5,3,14.72
1/23/2019,48.96,108.66,24.18,25.84,50.06,15.15,341.35,176.52,44.41,24.63,76.06,228.06,341.35,187.71,19.53,24.72,13.12,23.18,3.01,14.55
1/24/2019,48.28,109.13,24,25.99,50.68,14.92,341.03,174.55,45.28,24.83,76.27,226.86,341.03,191.23,20.12,25,13.1,22.43,3,14.76
1/25/2019,47.76,108.2,23.7,26.06,51.36,15.06,342.23,174.27,45.22,25.06,78,227.95,342.23,191.88,19.68,25.77,13,22.44,3,15.14
1/28/2019,48.52,107.12,24.12,25.94,52.44,15.11,341.01,173.38,45.7,25.2,79.14,226,341.01,187.5,19.23,25.16,12.97,21.98,2.99,14.83
1/29/2019,50.04,107.76,23.58,25.94,52.88,15.1,341.39,174.04,45.73,25.07,77.47,229.64,341.39,185.4,19.14,25.49,12.85,22,2.98,14.69
1/30/2019,49.86,106.84,24.15,25.63,52.44,15.05,343.01,172.32,46.47,25.38,74.79,234.69,343.01,188.24,19.45,24.89,12.34,22.31,2.96,14.72
1/31/2019,50.2,106.16,24.07,26.08,52.92,15.31,345.93,173.97,45.79,26.24,75.09,232.97,345.93,195.12,19.71,24.32,12.44,22.99,2.98,14.98
2/1/2019,49.62,105.13,24.07,26.29,52.22,15.41,333.27,171.86,45.54,26.06,75.71,231.89,333.27,192.55,19.85,24.54,12.23,22.6,2.96,14.81
2/5/2019,50.37,107.65,24.44,26.42,53.03,15.48,341.89,174.2,46.16,26.49,76.19,233.14,341.89,189.56,19.22,24.94,12.39,21.96,2.97,14.91
